po_id,vendor_id,item_id,quantity,unit_price,order_date,expected_delivery,actual_delivery,status
146,5,57,484,176.05,2024-08-10,2024-09-04,2024-09-19,delayed
147,45,33,234,423.43,2023-09-05,2023-10-22,,cancelled
148,16,49,293,182.68,2023-02-12,2023-03-15,2023-03-26,delayed
149,18,2,290,433.21,2023-08-29,2023-10-19,,delivered
150,50,30,311,401.96,2022-04-11,2022-05-26,2022-06-18,delayed
151,44,97,370,384.9,2023-03-25,2023-05-11,2023-05-14,delivered
152,20,57,18,291.89,2022-10-08,2022-11-24,2022-11-20,delivered
153,21,96,213,91.94,2022-09-27,2022-10-09,,cancelled
154,34,65,468,139.9,2022-09-28,2022-11-24,2022-11-30,delivered
155,31,38,383,435.85,2022-12-03,2022-12-26,,cancelled
156,10,97,495,116.68,2022-08-24,2022-09-29,,cancelled
157,26,2,136,270.6,2024-03-24,2024-05-21,2024-05-18,delivered
158,38,49,422,321.08,2024-07-20,2024-08-19,2024-09-09,delayed
159,2,80,453,471.87,2024-01-31,2024-02-13,2024-03-19,delayed
160,41,60,466,352.03,2023-11-03,2023-12-19,2023-12-16,delivered
161,20,64,60,53.11,2024-04-16,2024-04-30,2024-04-26,delivered
162,38,96,373,81.49,2022-10-05,2022-11-05,2022-11-13,delivered
163,40,53,481,476.0,2024-04-29,2024-06-16,2024-06-26,delivered
164,29,31,438,184.53,2022-03-09,2022-04-29,2022-05-08,delivered
165,42,46,32,202.08,2024-01-23,2024-03-04,,cancelled
166,30,12,340,109.99,2023-01-24,2023-02-07,,cancelled
167,9,73,106,38.96,2022-02-13,2022-02-23,2022-03-15,delayed
168,22,100,76,395.38,2023-03-01,2023-04-14,2023-04-16,delivered
169,9,70,129,400.26,2022-01-06,2022-01-30,2022-02-13,delayed
170,1,46,405,395.27,2022-08-14,2022-10-02,2022-10-15,delayed
171,9,95,216,265.41,2023-10-26,2023-11-03,2023-10-30,delivered
172,33,76,56,228.74,2022-05-11,2022-06-17,,delivered
173,30,83,494,20.42,2023-03-30,2023-05-15,2023-05-19,delivered
174,32,92,466,224.56,2024-09-07,2024-10-09,2024-10-07,delivered
175,9,36,320,318.37,2022-06-15,2022-07-12,2022-07-09,delivered
176,34,38,233,255.25,2023-10-28,2023-11-28,,cancelled
177,42,84,450,385.64,2024-05-31,2024-06-13,2024-06-25,delayed
178,27,44,424,229.48,2023-03-17,2023-04-20,2023-04-22,delivered
179,21,86,131,190.28,2024-05-01,2024-06-23,2024-07-01,delivered
180,5,12,426,47.26,2022-11-09,2022-12-29,,cancelled
181,9,72,31,295.3,2024-06-03,2024-06-16,2024-07-14,delayed
182,43,97,217,434.71,2023-11-07,2023-12-26,2024-01-01,delivered
183,7,74,260,110.31,2022-04-16,2022-05-11,2022-05-17,delivered
184,36,48,59,382.49,2024-09-14,2024-10-05,2024-11-01,delayed
185,39,85,425,348.27,2023-04-09,2023-06-06,2023-06-01,delivered
186,22,45,4,94.8,2022-03-01,2022-03-19,2022-03-23,delivered
187,10,95,325,486.05,2022-10-21,2022-12-03,2022-12-12,delayed
188,27,59,175,82.92,2022-07-07,2022-08-30,2022-09-06,delivered
189,4,20,81,378.45,2023-10-01,2023-11-23,2023-11-20,delivered
190,43,55,249,305.5,2022-04-12,2022-06-01,2022-06-10,delivered
191,23,56,57,145.21,2024-04-28,2024-05-22,,delivered
192,15,51,307,32.12,2024-09-23,2024-11-02,2024-11-09,delayed
193,50,18,392,131.48,2023-02-23,2023-03-21,,cancelled
194,12,17,195,268.63,2023-11-03,2023-11-17,2023-11-25,delivered
195,5,51,442,372.31,2023-04-17,2023-05-26,2023-06-01,delivered
196,21,74,220,288.83,2024-06-12,2024-06-20,2024-06-17,delivered
197,21,22,411,474.07,2024-05-05,2024-05-30,2024-05-25,delivered
198,6,56,433,57.4,2024-07-31,2024-09-29,2024-10-27,delayed
199,26,40,382,173.06,2024-06-11,2024-07-25,2024-07-22,delivered
200,34,66,100,453.43,2023-11-14,2024-01-09,2024-01-07,delivered
201,16,14,75,131.7,2023-12-17,2024-01-15,2024-01-29,delayed
202,12,99,322,249.59,2022-12-22,2023-02-05,,delivered
203,37,83,326,493.33,2024-07-08,2024-08-27,,cancelled
204,5,61,227,317.54,2023-10-24,2023-12-10,2023-12-19,delivered
205,20,60,232,23.62,2023-07-17,2023-08-30,2023-08-27,delivered
206,40,77,260,195.32,2024-01-26,2024-03-26,,delivered
207,37,84,97,164.16,2022-03-26,2022-04-30,,cancelled
208,29,14,416,450.07,2024-09-01,2024-10-10,2024-10-06,delivered
209,3,32,363,221.69,2023-12-05,2024-01-26,,delivered
210,24,48,470,145.03,2024-06-18,2024-07-28,2024-07-28,delivered
211,41,83,172,37.63,2024-04-17,2024-06-12,2024-06-08,delivered
212,17,93,437,330.0,2022-07-13,2022-08-24,2022-09-16,delayed
213,23,40,496,329.75,2022-11-04,2022-12-02,2022-12-01,delivered
214,20,72,193,323.53,2024-03-13,2024-03-28,2024-03-25,delivered
215,42,86,217,256.7,2023-11-04,2024-01-02,2023-12-30,delivered
216,22,99,249,100.04,2022-02-07,2022-03-09,2022-03-10,delivered
217,33,99,277,418.38,2022-10-09,2022-10-25,2022-10-23,delivered
218,9,77,193,81.36,2024-12-14,2024-12-23,2025-02-05,delayed
219,11,93,225,26.63,2023-01-06,2023-03-07,2023-04-20,delayed
220,40,37,386,375.53,2024-01-17,2024-03-07,2024-04-09,delayed
221,31,25,189,340.76,2024-07-08,2024-07-29,2024-08-02,delivered
222,33,68,215,483.3,2024-06-21,2024-07-27,2024-08-25,delayed
223,4,83,247,437.69,2023-02-13,2023-04-12,,delivered
224,19,11,391,84.35,2022-07-30,2022-09-20,2022-10-02,delayed
225,6,29,419,228.31,2024-07-09,2024-08-17,2024-08-25,delivered
226,33,48,121,196.15,2023-12-17,2023-12-25,2024-01-01,delivered
227,7,92,333,170.97,2022-06-17,2022-07-17,2022-07-22,delivered
228,45,18,389,354.24,2022-10-27,2022-11-11,2022-11-21,delivered
229,2,33,111,418.31,2024-07-07,2024-08-22,2024-08-19,delivered
230,16,39,63,28.64,2024-12-16,2025-01-19,2025-01-23,delivered
231,5,15,429,453.05,2024-05-09,2024-06-25,2024-07-29,delayed
232,46,19,150,217.47,2022-02-03,2022-03-22,2022-03-24,delivered
233,43,86,44,264.12,2023-12-24,2024-01-15,2024-01-15,delivered
234,35,65,403,494.22,2024-01-09,2024-01-20,,cancelled
235,41,50,192,130.56,2022-02-11,2022-03-14,2022-03-21,delayed
236,16,94,337,315.99,2022-02-03,2022-03-04,2022-03-31,delayed
237,42,23,426,390.68,2023-11-12,2023-11-27,2023-12-02,delivered
238,9,9,367,389.21,2024-08-09,2024-09-29,,delivered
239,13,6,162,467.02,2024-07-26,2024-08-04,2024-07-31,delivered
240,35,61,130,23.13,2024-11-21,2024-12-23,,cancelled
241,42,43,140,66.62,2023-01-27,2023-02-21,2023-02-17,delivered
242,25,44,499,97.47,2024-01-24,2024-02-27,2024-03-31,delayed
243,34,35,411,45.89,2024-10-15,2024-11-14,,cancelled
244,35,38,165,55.79,2024-05-19,2024-05-31,2024-05-31,delivered
245,39,92,219,87.49,2023-11-03,2023-12-22,,delivered
246,40,56,141,321.54,2024-06-28,2024-07-27,2024-08-02,delivered
247,24,66,411,376.2,2022-04-28,2022-05-09,2022-06-08,delayed
248,3,17,35,121.82,2022-11-24,2022-12-02,2022-12-11,delivered
249,39,20,348,227.71,2024-01-21,2024-02-20,2024-02-16,delivered
250,37,18,272,186.64,2024-01-30,2024-02-29,2024-02-26,delivered
251,2,95,96,252.03,2023-10-06,2023-11-23,2023-11-21,delivered
252,46,58,110,498.2,2024-03-03,2024-04-14,2024-04-17,delivered
253,32,26,63,72.19,2023-08-08,2023-09-28,,cancelled
254,6,88,496,423.53,2022-06-01,2022-07-06,2022-07-15,delivered
255,36,70,149,446.21,2023-10-17,2023-12-05,2023-12-02,delivered
256,12,47,261,116.0,2022-11-19,2023-01-10,2023-02-24,delayed
257,2,47,284,288.28,2023-02-16,2023-04-14,2023-04-24,delivered
258,9,79,453,47.68,2024-08-15,2024-10-12,,cancelled
259,47,62,270,208.34,2023-09-26,2023-10-28,,cancelled
260,21,83,38,227.74,2024-04-18,2024-06-16,,delivered
261,50,17,222,253.92,2024-11-25,2024-12-24,2024-12-24,delivered
262,20,22,83,164.72,2022-04-24,2022-06-23,2022-06-22,delivered
263,34,37,434,44.04,2023-04-07,2023-05-06,,cancelled
264,18,17,321,154.9,2023-02-07,2023-03-26,,cancelled
265,38,75,79,89.74,2024-12-28,2025-01-09,2025-01-09,delivered
266,3,4,42,27.5,2023-11-23,2024-01-22,,cancelled
267,40,82,16,251.53,2023-06-27,2023-08-14,2023-08-22,delivered
268,31,32,413,404.64,2023-08-17,2023-10-04,,cancelled
269,11,57,213,244.7,2024-04-11,2024-05-07,2024-05-03,delivered
270,46,41,376,494.07,2023-02-22,2023-03-22,2023-03-27,delivered
271,33,72,55,162.96,2023-12-09,2024-01-10,2024-01-16,delivered
272,10,13,26,148.65,2024-08-13,2024-08-27,2024-08-29,delivered
273,21,74,370,159.79,2024-02-26,2024-04-12,2024-04-12,delivered
274,30,64,451,157.73,2022-11-23,2022-12-31,,cancelled
275,33,59,495,124.16,2022-02-17,2022-03-01,,cancelled
276,39,84,345,237.94,2023-12-24,2024-01-03,2024-01-13,delivered
277,47,47,392,204.61,2022-01-17,2022-01-30,2022-02-02,delivered
278,24,71,148,41.4,2022-04-03,2022-05-05,2022-05-06,delivered
279,40,88,313,63.81,2024-10-29,2024-12-03,2024-12-25,delayed
280,36,47,387,76.41,2022-07-18,2022-08-19,2022-08-24,delivered
281,3,18,366,169.86,2024-11-08,2024-12-10,2024-12-06,delivered
282,21,79,164,85.44,2024-08-28,2024-10-07,2024-10-06,delivered
283,46,73,154,240.07,2023-09-05,2023-10-19,2023-10-29,delivered
284,27,75,158,399.39,2022-02-04,2022-03-06,,delivered
285,47,7,299,242.82,2022-02-24,2022-04-10,2022-04-12,delivered
286,10,88,125,20.63,2024-12-09,2025-01-25,2025-02-23,delayed
287,27,20,212,346.8,2022-08-14,2022-09-02,2022-09-07,delivered
288,48,94,32,354.36,2024-04-20,2024-05-29,2024-07-03,delayed
289,34,49,161,478.56,2024-11-28,2024-12-18,2024-12-28,delivered
290,44,99,445,361.86,2024-07-30,2024-09-09,2024-09-15,delivered
291,18,72,153,116.31,2023-06-26,2023-08-11,,delivered
292,45,91,251,161.94,2023-09-02,2023-10-28,,delivered
293,47,36,148,65.33,2023-12-16,2024-01-27,,cancelled
294,19,6,148,477.88,2024-02-17,2024-03-20,2024-04-03,delayed
295,42,33,383,242.14,2022-06-11,2022-07-10,,cancelled
296,9,14,316,371.74,2023-02-18,2023-04-18,2023-04-21,delivered
297,41,30,27,54.6,2023-05-06,2023-05-28,2023-05-30,delivered
298,1,71,476,83.18,2023-11-08,2023-12-30,2023-12-29,delivered
299,21,37,331,34.29,2024-09-01,2024-10-08,2024-10-31,delayed
300,12,54,452,419.61,2022-07-03,2022-08-20,,delivered
301,12,96,493,436.78,2022-03-16,2022-05-15,,delivered
302,22,37,233,494.6,2023-08-16,2023-08-25,2023-08-23,delivered
303,33,60,140,100.44,2024-12-09,2025-01-16,2025-01-29,delayed
304,42,33,368,97.17,2022-08-19,2022-09-16,2022-09-25,delivered
305,12,79,439,321.17,2023-11-22,2024-01-18,2024-01-19,delivered
306,6,52,343,52.22,2024-04-10,2024-06-08,2024-06-13,delivered
307,1,34,197,121.58,2022-10-15,2022-11-21,2022-11-23,delivered
308,17,84,185,347.92,2023-07-01,2023-07-29,2023-07-24,delivered
309,11,52,352,253.75,2022-05-08,2022-06-26,2022-06-30,delivered
310,24,79,114,113.47,2023-09-29,2023-11-19,2023-11-23,delivered
311,27,90,282,456.83,2022-10-01,2022-11-07,2022-11-13,delivered
312,34,58,271,353.36,2023-03-24,2023-05-18,,delivered
313,37,69,77,86.45,2022-06-09,2022-07-22,,delivered
314,46,75,251,50.02,2024-12-01,2025-01-05,2025-01-06,delivered
315,9,66,213,231.12,2024-11-11,2024-12-16,2025-01-19,delayed
316,47,3,203,130.96,2022-04-29,2022-06-10,2022-06-14,delivered
317,3,55,177,351.69,2022-01-07,2022-03-02,2022-02-27,delivered
318,31,5,147,207.39,2022-05-04,2022-05-15,,cancelled
319,24,49,230,435.46,2022-10-05,2022-11-30,2022-12-08,delivered
320,42,45,61,93.34,2024-02-13,2024-03-15,2024-03-14,delivered
321,1,97,12,489.35,2024-03-15,2024-04-24,2024-04-26,delivered
322,35,49,422,118.68,2024-08-06,2024-09-25,2024-10-27,delayed
323,47,98,58,20.95,2024-08-01,2024-08-30,2024-08-31,delivered
324,16,27,35,54.94,2024-05-08,2024-06-23,2024-06-29,delayed
325,16,95,23,204.12,2022-03-10,2022-04-14,2022-04-10,delivered
326,9,65,149,120.91,2023-04-25,2023-06-05,2023-06-01,delivered
327,16,39,449,75.91,2023-10-16,2023-11-28,2023-12-03,delivered
328,4,72,486,297.88,2024-12-03,2024-12-24,2024-12-27,delivered
329,32,7,498,175.49,2022-12-25,2023-02-10,2023-03-22,delayed
330,27,20,154,191.35,2024-02-20,2024-04-17,2024-04-25,delivered
331,46,19,413,234.2,2024-08-27,2024-09-18,2024-10-12,delayed
332,36,68,69,197.27,2022-04-29,2022-06-10,2022-06-18,delivered
333,29,48,48,270.14,2023-06-07,2023-06-27,,delivered
334,5,25,412,382.04,2023-01-26,2023-02-05,2023-02-01,delivered
335,20,2,109,468.89,2023-03-21,2023-04-27,,delivered
336,31,32,357,304.18,2022-08-29,2022-10-22,,cancelled
337,36,42,398,145.11,2023-02-23,2023-03-27,,cancelled
338,17,47,263,441.99,2024-08-12,2024-09-22,2024-09-26,delivered
339,49,41,469,105.55,2024-08-12,2024-08-25,2024-09-29,delayed
340,48,19,9,134.08,2023-10-03,2023-11-05,,delivered
341,15,49,292,417.51,2024-05-05,2024-05-30,2024-06-04,delivered
342,17,98,421,246.87,2024-10-19,2024-11-30,2024-12-26,delayed
343,11,18,369,275.54,2024-10-01,2024-11-06,2024-11-12,delivered
344,4,68,18,420.34,2023-01-12,2023-02-22,,cancelled
345,27,18,432,317.2,2022-06-02,2022-07-31,2022-08-05,delayed
346,33,59,192,34.92,2022-05-20,2022-07-11,2022-07-12,delivered
347,35,71,211,10.87,2024-09-16,2024-11-04,2024-10-30,delivered
348,2,65,417,350.44,2024-12-20,2025-02-11,,delivered
349,12,14,471,52.68,2024-05-31,2024-07-28,,cancelled
350,23,35,408,201.46,2022-11-01,2022-11-23,2022-11-26,delivered
351,45,29,154,343.6,2024-02-04,2024-03-07,2024-03-09,delivered
352,42,98,17,51.28,2022-06-15,2022-08-02,,cancelled
353,41,2,360,89.83,2024-02-16,2024-03-18,2024-03-14,delivered
354,37,13,459,266.44,2024-10-20,2024-11-23,2024-11-28,delivered
355,18,6,474,41.8,2022-03-29,2022-04-19,,delivered
356,12,41,9,480.93,2023-07-29,2023-09-08,2023-09-04,delivered
357,5,39,84,284.16,2022-10-23,2022-12-17,2023-01-16,delayed
358,25,97,379,74.28,2024-03-07,2024-04-26,2024-05-22,delayed
359,4,13,224,119.91,2022-06-10,2022-07-19,2022-08-15,delayed
360,50,42,16,318.89,2022-06-05,2022-07-03,2022-07-10,delivered
361,28,24,349,295.01,2024-07-11,2024-08-18,2024-08-25,delivered
362,16,92,38,45.61,2024-02-18,2024-03-01,2024-03-24,delayed
363,10,95,200,161.76,2022-11-12,2022-12-13,2023-01-27,delayed
364,29,47,390,138.53,2022-08-07,2022-08-19,2022-08-23,delivered
365,36,72,263,206.98,2022-09-29,2022-10-11,2022-10-20,delivered
366,39,77,402,165.59,2022-02-23,2022-03-07,2022-03-04,delivered
367,50,11,372,451.06,2024-02-28,2024-03-06,2024-03-13,delivered
368,11,18,138,154.06,2023-05-13,2023-06-25,2023-07-02,delivered
369,18,54,154,244.69,2024-10-06,2024-10-22,2024-10-30,delivered
370,47,81,254,298.93,2022-06-07,2022-07-07,,delivered
371,1,51,171,421.6,2023-02-05,2023-03-13,2023-03-17,delivered
372,22,56,418,412.65,2024-02-18,2024-04-16,2024-05-19,delayed
373,31,41,91,482.46,2022-10-06,2022-11-01,,delivered
374,32,74,401,125.0,2023-10-16,2023-11-10,2023-12-25,delayed
375,24,15,478,284.11,2024-02-10,2024-03-05,2024-04-04,delayed
376,47,60,483,355.64,2023-01-04,2023-02-23,2023-03-01,delayed
377,27,87,256,73.89,2024-06-16,2024-08-13,2024-08-10,delivered
378,46,55,405,191.61,2023-09-13,2023-10-05,,delivered
379,35,65,473,460.59,2024-07-08,2024-08-22,2024-08-29,delivered
380,45,69,305,320.9,2024-05-06,2024-06-16,2024-06-22,delivered
381,11,83,314,26.93,2022-06-24,2022-07-07,2022-08-03,delayed
382,7,2,51,133.08,2024-03-29,2024-05-23,2024-05-31,delivered
383,29,48,201,234.22,2024-11-11,2025-01-04,2025-01-06,delivered
384,31,14,152,210.91,2024-10-21,2024-11-06,2024-11-01,delivered
385,23,40,176,230.39,2022-06-25,2022-07-09,2022-07-23,delayed
386,7,57,370,349.9,2023-02-28,2023-04-09,2023-04-19,delivered
387,2,44,332,59.13,2023-10-16,2023-10-27,2023-10-25,delivered
