invoice_id,po_id,amount_due,amount_paid,payment_date,days_overdue,payment_status
113,306,44579.12,44579.12,2026-01-25,0.0,paid
114,340,29296.1,29296.1,2025-07-05,0.0,paid
115,90,21849.67,21849.67,2026-05-27,0.0,paid
116,700,30510.73,30510.73,2026-06-05,0.0,paid
117,112,18736.91,18736.91,2025-08-14,0.0,paid
118,427,9788.33,9788.33,2024-08-31,0.0,paid
119,183,13557.76,13557.76,2025-04-12,0.0,paid
120,166,1701.52,1701.52,2026-03-03,0.0,paid
121,292,14102.15,14102.15,2026-07-21,0.0,paid
122,626,23330.16,23330.16,2026-05-22,,paid
123,677,38040.95,38040.95,2026-01-12,0.0,paid
124,610,14828.56,14828.56,2024-12-17,0.0,paid
125,587,39748.81,32771.4,2025-12-10,73.0,partial
126,576,42764.7,,2025-10-11,0.0,paid
127,182,42862.99,42862.99,2026-06-12,0.0,paid
128,467,49783.65,49783.65,2026-05-31,0.0,paid
129,593,41865.75,41865.75,2025-12-07,,paid
130,369,36527.89,0.0,,64.0,unpaid
131,37,12466.79,12466.79,2025-03-14,0.0,paid
132,96,11198.09,9596.78,2025-01-06,73.0,partial
133,307,20946.82,20946.82,2025-10-31,0.0,paid
134,331,49564.55,0.0,,130.0,unpaid
135,378,1777.67,1777.67,2024-12-27,0.0,paid
136,389,24015.54,0.0,,26.0,unpaid
137,70,22676.82,,2025-04-21,0.0,paid
138,438,27968.5,27968.5,2026-05-26,0.0,paid
139,753,36616.14,7549.13,,37.0,partial
140,67,49947.69,49947.69,2025-08-29,0.0,paid
141,300,33484.88,33484.88,2024-12-11,0.0,paid
142,483,23018.21,23018.21,2026-03-25,0.0,paid
143,138,29224.64,13765.05,2025-04-18,17.0,partial
144,125,20327.48,0.0,,95.0,unpaid
145,282,31377.87,0.0,,,unpaid
146,338,43033.09,,2025-08-14,0.0,paid
147,540,44682.38,44682.38,2025-04-12,0.0,paid
148,788,1732.44,1732.44,2025-02-01,0.0,paid
149,538,13562.49,7241.67,2026-05-23,26.0,partial
150,215,4139.86,2850.74,2026-04-21,7.0,partial
151,651,45509.21,45509.21,2025-12-05,,paid
152,756,2672.97,2672.97,2026-05-07,0.0,paid
153,60,23321.11,23321.11,2024-08-11,0.0,paid
154,691,18385.01,0.0,,18.0,unpaid
155,586,28081.83,0.0,,,unpaid
156,645,49064.46,49064.46,2025-10-04,0.0,paid
157,542,5766.53,5766.53,2025-04-12,0.0,paid
158,686,46963.48,,2026-03-27,0.0,paid
159,496,47959.28,47959.28,2024-12-05,0.0,paid
160,620,37276.33,37276.33,2025-07-27,0.0,paid
161,295,17700.31,,2025-06-22,0.0,paid
162,663,34043.31,34043.31,2025-09-20,0.0,paid
163,624,3262.12,3262.12,2025-06-11,0.0,paid
164,325,24362.72,24362.72,2024-09-27,0.0,paid
165,266,6223.2,0.0,,174.0,unpaid
166,539,41286.41,19057.09,2025-10-16,47.0,partial
167,589,47273.73,0.0,,17.0,unpaid
168,363,9498.84,1613.35,2025-12-08,50.0,partial
169,133,14489.8,2716.72,,35.0,partial
170,630,7482.91,7482.91,2024-10-10,0.0,paid
171,577,10292.38,1216.07,2025-09-21,53.0,partial
172,509,27117.6,27117.6,2024-10-17,0.0,paid
173,533,17400.34,17400.34,2026-03-26,0.0,paid
174,760,32269.75,32269.75,2026-03-17,0.0,paid
175,505,3241.18,,2026-08-07,66.0,partial
176,794,20643.42,20643.42,2025-10-29,0.0,paid
177,239,32337.96,32337.96,2025-08-24,,paid
178,298,29708.53,,,141.0,unpaid
179,199,22318.29,22318.29,2026-04-01,0.0,paid
180,2,6684.52,0.0,,44.0,unpaid
181,122,39484.46,39484.46,2025-06-21,0.0,paid
182,25,18657.93,18657.93,2024-12-05,0.0,paid
183,477,42291.13,,2026-07-22,0.0,paid
184,733,14290.66,,2025-09-05,20.0,partial
185,701,14333.8,11058.03,2024-10-26,88.0,partial
186,425,39743.42,39743.42,2024-10-01,0.0,paid
187,653,5934.18,3320.89,,56.0,partial
188,47,9306.38,9306.38,2025-10-01,0.0,paid
189,342,1830.99,1830.99,2025-01-13,0.0,paid
190,359,17257.97,17257.97,2025-01-03,0.0,paid
191,574,27039.34,27039.34,2026-07-24,0.0,paid
192,218,15147.83,6417.38,2026-06-20,63.0,partial
193,12,47394.67,10656.34,2024-10-06,69.0,partial
194,780,16630.9,0.0,,122.0,unpaid
195,289,44809.27,31515.67,2025-12-16,73.0,partial
196,261,39998.85,,,,unpaid
197,664,17000.35,17000.35,2025-08-30,,paid
198,739,24001.16,24001.16,2025-02-26,0.0,paid
199,308,33932.62,33932.62,2024-08-09,0.0,paid
200,519,1337.3,0.0,,57.0,unpaid
201,800,22354.04,22354.04,2025-11-20,0.0,paid
202,776,2846.18,0.0,,150.0,unpaid
203,708,26369.05,0.0,,72.0,unpaid
204,767,9866.21,9866.21,2025-02-23,0.0,paid
205,612,42487.62,0.0,,23.0,unpaid
206,350,48794.39,48794.39,2025-12-07,,paid
207,406,24574.22,0.0,,131.0,unpaid
208,583,47175.77,18344.39,2026-02-26,18.0,partial
209,30,21439.26,21439.26,2025-01-30,0.0,paid
210,180,708.32,708.32,2026-06-28,0.0,paid
211,622,15473.46,15473.46,2024-12-11,0.0,paid
212,339,28095.55,28095.55,2025-04-21,,paid
213,347,44401.46,0.0,,107.0,unpaid
214,491,40203.91,,2025-05-15,0.0,paid
215,486,40303.07,17695.7,,,partial
216,670,29400.29,29400.29,2024-08-10,0.0,paid
217,140,10468.41,10468.41,2025-12-08,,paid
218,494,43389.54,6633.94,2024-11-02,75.0,partial
219,160,4513.57,4513.57,2025-02-28,0.0,paid
220,472,45729.08,,2025-05-07,0.0,paid
221,550,27835.11,0.0,,36.0,unpaid
222,749,10042.95,0.0,,75.0,unpaid
223,474,27737.96,27737.96,2025-08-12,0.0,paid
224,614,41329.79,0.0,,,unpaid
225,58,24755.61,0.0,,58.0,unpaid
226,534,1439.32,1439.32,2025-12-25,,paid
227,668,13207.58,10135.42,,60.0,partial
228,324,33329.08,33329.08,2026-07-15,0.0,paid
229,569,9050.68,5573.67,,3.0,partial
230,549,13933.13,2137.06,2025-06-10,46.0,partial
231,20,28322.17,,2024-10-10,60.0,partial
232,214,40932.21,40932.21,2024-08-21,0.0,paid
233,687,36674.57,36674.57,2024-10-22,0.0,paid
234,633,13050.91,13050.91,2025-11-28,0.0,paid
235,68,7392.24,,2025-01-28,0.0,paid
236,153,34694.82,34694.82,2025-11-01,0.0,paid
237,288,2739.13,2739.13,2024-08-27,0.0,paid
238,32,31848.73,4426.08,2024-10-01,37.0,partial
239,348,46822.22,,2025-01-26,0.0,paid
240,385,38345.48,38345.48,2026-04-01,0.0,paid
241,548,4815.98,0.0,,140.0,unpaid
242,170,16198.08,16198.08,2025-01-22,0.0,paid
243,399,42265.24,0.0,,70.0,unpaid
244,192,34303.64,0.0,,,unpaid
245,120,26767.57,26767.57,2025-07-27,0.0,paid
246,717,7271.5,7271.5,2024-09-21,0.0,paid
247,323,14142.75,0.0,,,unpaid
248,33,17081.62,,2026-04-24,19.0,partial
249,279,41595.52,0.0,,144.0,unpaid
250,631,30710.08,,,135.0,unpaid
251,89,42318.88,0.0,,180.0,unpaid
252,629,37839.71,37839.71,2025-10-25,0.0,paid
253,719,23078.52,23078.52,2024-09-16,,paid
254,381,40960.35,19809.02,2024-09-05,39.0,partial
255,799,7036.8,7036.8,2025-07-15,0.0,paid
256,310,49380.33,49380.33,2024-09-18,0.0,paid
257,222,48508.56,48508.56,2025-12-15,0.0,paid
258,652,15303.74,0.0,,31.0,unpaid
259,545,11195.66,2394.61,2026-05-17,,partial
260,591,10571.07,4649.62,,14.0,partial
261,115,38757.15,0.0,,11.0,unpaid
262,384,9897.91,9897.91,2025-12-31,0.0,paid
263,39,33023.46,33023.46,2026-01-28,,paid
264,607,23507.21,3164.66,2025-10-10,38.0,partial
265,95,37752.06,0.0,,155.0,unpaid
266,455,10349.52,2564.87,,44.0,partial
267,601,7363.29,0.0,,72.0,unpaid
268,785,47444.7,47444.7,2025-09-25,0.0,paid
269,495,8111.81,8111.81,2024-09-07,0.0,paid
270,796,36454.85,36454.85,2024-09-08,0.0,paid
271,158,28554.74,28554.74,2026-01-29,0.0,paid
272,195,28948.87,28948.87,2025-07-19,0.0,paid
273,349,10928.2,,2026-01-30,0.0,paid
274,735,14164.65,,2025-05-23,12.0,partial
275,318,46031.81,22084.79,2026-01-14,89.0,partial
276,336,22039.32,5392.56,2025-11-03,45.0,partial
277,147,21262.18,21262.18,2025-10-24,0.0,paid
278,101,20438.14,0.0,,81.0,unpaid
279,136,6268.41,6268.41,2025-05-01,0.0,paid
280,211,6882.03,0.0,,74.0,unpaid
281,694,27900.89,27900.89,2026-03-01,,paid
282,471,16472.96,,2024-11-16,0.0,paid
283,397,14252.21,0.0,,80.0,unpaid
284,119,34383.62,0.0,,58.0,unpaid
285,5,27740.4,27740.4,2026-07-15,0.0,paid
286,319,42782.75,42782.75,2025-07-16,0.0,paid
287,46,3573.5,0.0,,122.0,unpaid
288,643,46960.19,46960.19,2026-07-08,0.0,paid
289,596,738.01,0.0,,,unpaid
290,240,5348.08,5348.08,2025-05-07,0.0,paid
291,456,32961.56,32961.56,2026-02-20,0.0,paid
292,24,7254.04,7254.04,2025-03-26,0.0,paid
293,741,29568.81,29568.81,2025-03-06,0.0,paid
294,267,46271.99,7022.62,2026-02-09,25.0,partial
295,393,29788.55,5904.38,2025-08-04,,partial
296,655,13998.06,0.0,,,unpaid
297,382,29723.13,0.0,,165.0,unpaid
298,582,47166.93,47166.93,2026-06-18,,paid
299,608,33367.18,29697.41,,,partial
300,771,38423.18,38423.18,2026-06-10,,paid
301,774,12609.42,,2024-10-20,0.0,paid
302,503,31455.71,31455.71,2025-01-08,0.0,paid
303,328,5070.21,5070.21,2025-07-04,0.0,paid
304,737,3504.61,0.0,,46.0,unpaid
305,108,19193.39,0.0,,40.0,unpaid
306,165,15207.36,0.0,,20.0,unpaid
307,103,33087.92,33087.92,2024-09-07,0.0,paid
308,99,24660.16,24660.16,2024-08-27,0.0,paid
309,757,14748.79,14748.79,2026-04-15,0.0,paid
310,142,25289.26,25289.26,2026-06-11,,paid
311,273,40493.13,40493.13,2025-08-31,0.0,paid
312,755,981.75,0.0,,111.0,unpaid
313,396,44018.27,44018.27,2025-08-14,0.0,paid
314,226,22560.76,10243.6,,,partial
315,579,27877.66,9546.3,,,partial
316,61,21590.99,21590.99,2024-09-16,0.0,paid
317,584,19515.12,,,146.0,unpaid
318,77,33783.73,0.0,,176.0,unpaid
319,81,27015.68,27015.68,2026-03-27,0.0,paid
320,141,28156.55,28156.55,2025-03-16,0.0,paid
321,59,2881.28,2881.28,2026-02-21,0.0,paid
322,8,29593.15,29593.15,2025-09-15,0.0,paid
323,515,33856.74,0.0,,73.0,unpaid
324,287,16092.09,16092.09,2025-09-13,0.0,paid
325,264,2351.41,0.0,,90.0,unpaid
326,508,40496.72,40496.72,2025-11-16,0.0,paid
327,106,38283.18,,,,unpaid
328,278,4957.77,4957.77,2025-01-07,0.0,paid
329,541,17932.57,17932.57,2025-07-23,0.0,paid
330,656,33095.88,33095.88,2026-06-19,0.0,paid
331,489,32439.33,32439.33,2025-01-30,0.0,paid
332,790,45528.41,45528.41,2026-07-10,0.0,paid
333,73,15315.13,,2024-11-17,0.0,paid
334,361,1083.63,1083.63,2025-12-29,0.0,paid
335,412,23099.38,12807.21,,53.0,partial
336,146,34828.33,,2025-09-05,0.0,paid
337,294,49289.66,49289.66,2025-07-08,0.0,paid
338,126,19576.01,19576.01,2025-03-11,0.0,paid
339,762,40435.5,40435.5,2024-11-14,0.0,paid
340,585,33788.05,33788.05,2026-07-16,0.0,paid
341,499,25188.15,0.0,,87.0,unpaid
342,314,8414.7,8414.7,2024-09-22,0.0,paid
343,497,48474.44,48474.44,2025-07-27,0.0,paid
344,174,31808.67,5097.56,,68.0,partial
345,277,13331.24,13331.24,2026-07-15,0.0,paid
346,228,28718.68,0.0,,160.0,unpaid
347,628,37170.11,37170.11,2024-08-27,0.0,paid
348,661,42224.93,42224.93,2025-09-30,0.0,paid
349,15,16908.22,16908.22,2026-03-18,0.0,paid
350,242,40079.17,40079.17,2025-11-11,0.0,paid
351,346,10565.98,0.0,,167.0,unpaid
352,454,41204.57,41204.57,2026-02-04,0.0,paid
353,55,15065.46,0.0,,81.0,unpaid
354,197,10083.84,10083.84,2026-07-29,0.0,paid
355,28,31285.7,31285.7,2024-12-05,0.0,paid
356,770,38195.77,38195.77,2026-07-28,0.0,paid
357,219,1028.31,0.0,,48.0,unpaid
358,201,28884.48,28884.48,2025-10-20,0.0,paid
359,92,48109.64,0.0,,120.0,unpaid
360,673,13470.0,,,158.0,unpaid
361,688,42653.45,36157.7,,80.0,partial
362,304,10112.34,10112.34,2026-06-10,0.0,paid
363,554,12094.66,0.0,,77.0,unpaid
364,429,42221.69,42221.69,2025-01-12,0.0,paid
365,354,43023.28,26121.24,,52.0,partial
366,611,14423.53,14423.53,2026-01-03,0.0,paid
367,229,34374.06,34374.06,2025-05-10,,paid
368,555,12000.32,12000.32,2025-12-11,0.0,paid
369,682,1482.44,,,80.0,unpaid
370,460,23261.57,23261.57,2026-01-31,0.0,paid
371,171,21863.03,0.0,,10.0,unpaid
372,419,10179.33,10179.33,2024-09-29,0.0,paid
373,102,1554.18,0.0,,72.0,unpaid
374,366,32967.67,32967.67,2025-01-24,0.0,paid
375,500,42640.8,20837.43,,2.0,partial
376,646,44835.62,44835.62,2025-02-16,0.0,paid
377,415,14969.16,14969.16,2025-07-27,0.0,paid
378,274,47758.91,,2025-12-22,11.0,partial
379,41,42006.54,0.0,,61.0,unpaid
380,387,5685.42,0.0,,31.0,unpaid
381,392,26145.68,0.0,,135.0,unpaid
382,773,12665.22,3678.76,2026-03-07,15.0,partial
383,291,15739.18,0.0,,100.0,unpaid
384,566,40311.5,0.0,,109.0,unpaid
385,48,10978.62,,2025-01-29,0.0,paid
386,411,10784.02,10784.02,2025-07-29,0.0,paid
387,695,20477.94,2963.98,2025-10-10,,partial
388,766,47440.67,,2024-10-25,0.0,paid
389,50,21246.69,0.0,,72.0,unpaid
390,234,43983.73,17171.18,2024-12-10,47.0,partial
391,159,1151.6,,2024-12-27,,partial
392,351,2828.15,1802.32,2026-07-20,32.0,partial
393,330,15532.5,6062.09,,87.0,partial
394,364,43360.95,17811.67,2024-08-16,50.0,partial
395,720,45904.54,,2024-12-04,0.0,paid
396,437,46822.49,0.0,,77.0,unpaid
397,241,10598.29,8825.33,2025-11-12,80.0,partial
398,517,40631.16,0.0,,9.0,unpaid
399,654,13774.42,13774.42,2024-11-15,0.0,paid
400,74,38994.89,38994.89,2024-10-14,0.0,paid
401,433,36873.4,13502.22,2024-10-06,54.0,partial
402,632,41030.04,,,,unpaid
403,187,13122.41,,2025-08-28,0.0,paid
404,443,21101.44,0.0,,,unpaid
405,768,36915.5,36915.5,2025-10-30,0.0,paid
406,435,1464.81,1464.81,2026-04-17,0.0,paid
407,341,32115.47,0.0,,165.0,unpaid
408,559,6891.0,6891.0,2025-04-26,0.0,paid
409,758,31451.98,31451.98,2024-10-12,0.0,paid
410,233,4203.38,4203.38,2025-08-18,0.0,paid
411,250,25866.66,19774.99,2024-11-17,16.0,partial
412,16,34319.09,0.0,,82.0,unpaid
413,692,22629.35,4679.93,2024-09-24,22.0,partial
414,791,41355.75,0.0,,51.0,unpaid
415,675,4311.51,4311.51,2025-04-07,0.0,paid
416,581,19735.36,19735.36,2025-10-21,0.0,paid
417,246,41750.48,,2026-05-09,0.0,paid
418,237,1134.66,1134.66,2026-01-21,0.0,paid
419,786,27970.65,0.0,,59.0,unpaid
420,145,45351.55,11728.5,2026-04-18,89.0,partial
421,179,2584.17,0.0,,154.0,unpaid
422,703,13081.87,13081.87,2026-01-15,,paid
423,640,18459.22,3578.88,2024-12-25,67.0,partial
424,66,46007.45,46007.45,2025-05-17,0.0,paid
425,782,33713.14,33713.14,2025-06-02,0.0,paid
426,475,35706.83,35706.83,2024-12-03,,paid
427,731,43110.64,0.0,,74.0,unpaid
428,683,37347.51,37347.51,2025-02-12,0.0,paid
429,448,21622.3,21622.3,2025-07-23,0.0,paid
430,792,10856.77,0.0,,,unpaid
431,705,9549.22,9549.22,2025-03-12,0.0,paid
432,333,39643.93,39643.93,2026-06-13,0.0,paid
433,765,48808.8,48808.8,2025-04-22,0.0,paid
434,155,22603.74,,2026-06-06,0.0,paid
435,490,29186.86,0.0,,22.0,unpaid
436,383,614.98,614.98,2024-12-16,0.0,paid
437,206,16229.97,0.0,,176.0,unpaid
438,303,10689.66,10689.66,2025-10-16,0.0,paid
439,212,21222.22,21222.22,2025-03-18,0.0,paid
440,123,3745.48,3745.48,2026-05-20,,paid
441,526,2700.42,1287.41,2026-02-12,,partial
442,657,46972.16,27177.42,,5.0,partial
443,281,25276.65,25276.65,2025-11-08,0.0,paid
444,711,48878.44,0.0,,34.0,unpaid
445,247,48406.08,48406.08,2025-11-12,0.0,paid
446,447,29066.3,29066.3,2024-12-09,0.0,paid
447,754,25236.96,20248.05,,16.0,partial
448,750,35541.75,,2025-11-14,0.0,paid
449,107,13094.26,13094.26,2024-12-18,0.0,paid
450,567,48927.98,48927.98,2025-05-17,0.0,paid
451,221,48671.24,48671.24,2025-09-09,,paid
452,718,18093.55,18093.55,2025-07-07,0.0,paid
453,418,45149.35,45149.35,2025-09-27,0.0,paid
454,176,41496.5,21311.7,2025-08-20,55.0,partial
455,552,15845.59,11265.27,2026-06-27,19.0,partial
456,617,46150.35,0.0,,113.0,unpaid
457,748,2755.79,2755.79,2024-11-04,0.0,paid
458,568,11570.04,11570.04,2025-07-19,0.0,paid
459,40,13085.18,,,112.0,unpaid
460,464,5889.6,2920.82,2026-05-24,56.0,partial
461,752,35480.55,35480.55,2025-06-13,0.0,paid
462,480,24700.13,0.0,,38.0,unpaid
463,439,6270.35,6270.35,2025-05-30,0.0,paid
464,440,43421.84,43421.84,2025-03-16,0.0,paid
465,238,8497.92,,2026-02-18,0.0,paid
466,371,13712.3,,2025-03-30,74.0,partial
467,370,305.87,0.0,,47.0,unpaid
468,779,20879.31,20879.31,2024-08-13,0.0,paid
469,535,38435.85,0.0,,85.0,unpaid
470,91,1395.51,0.0,,,unpaid
471,530,6187.35,6187.35,2026-03-24,,paid
472,374,46464.51,46464.51,2025-12-30,0.0,paid
473,36,16244.56,16244.56,2025-03-19,0.0,paid
474,678,23065.64,,,123.0,unpaid
475,56,22757.37,13093.76,2024-08-08,0.0,partial
476,337,2287.97,,,116.0,unpaid
477,529,16313.28,0.0,,146.0,unpaid
478,772,6553.08,4857.45,2025-01-04,36.0,partial
479,254,2871.2,2871.2,2026-04-18,0.0,paid
480,563,47599.82,47599.82,2025-11-08,0.0,paid
481,613,20003.04,20003.04,2026-05-10,0.0,paid
482,647,48255.96,8268.69,,26.0,partial
483,72,38996.68,38996.68,2026-04-02,0.0,paid
484,721,37652.67,,,31.0,unpaid
485,1,14997.48,0.0,,80.0,unpaid
486,76,45196.34,0.0,,,unpaid
487,659,33309.46,,,132.0,unpaid
488,232,10073.58,10073.58,2025-07-02,0.0,paid
489,373,19465.67,,2024-10-14,0.0,paid
490,150,30057.0,,2026-02-22,0.0,paid
491,200,21184.56,21184.56,2025-09-06,0.0,paid
492,501,9399.16,0.0,,24.0,unpaid
493,434,2117.86,2117.86,2025-01-17,0.0,paid
494,523,23229.89,23229.89,2025-10-24,0.0,paid
495,578,34343.2,34343.2,2025-10-17,0.0,paid
496,163,24816.58,0.0,,135.0,unpaid
497,746,4290.11,4290.11,2025-07-14,0.0,paid
498,680,4051.24,,,,unpaid
499,156,7515.47,7515.47,2026-05-24,,paid
500,528,45154.89,0.0,,134.0,unpaid
501,177,21443.82,,2026-06-18,0.0,paid
502,514,27594.62,14093.44,2025-05-12,65.0,partial
503,516,4814.77,,,146.0,unpaid
504,262,40659.96,40659.96,2026-04-27,0.0,paid
505,761,29319.84,0.0,,5.0,unpaid
506,377,5785.38,0.0,,46.0,unpaid
507,151,39330.24,0.0,,12.0,unpaid
508,321,4256.2,1439.1,2024-10-23,75.0,partial
509,699,37891.98,37891.98,2025-09-10,,paid
510,575,40410.92,40410.92,2024-08-09,0.0,paid
511,446,45913.79,,,,unpaid
512,400,9335.86,0.0,,,unpaid
513,689,13039.95,0.0,,112.0,unpaid
514,743,26765.36,26765.36,2025-01-15,0.0,paid
515,697,5922.25,5922.25,2026-04-23,0.0,paid
516,547,23908.28,0.0,,169.0,unpaid
517,426,48293.61,0.0,,125.0,unpaid
518,345,15209.72,0.0,,158.0,unpaid
519,544,18100.37,,,,unpaid
520,202,33787.6,,,23.0,unpaid
521,305,6341.97,6341.97,2026-02-27,0.0,paid
522,196,5684.43,5684.43,2026-04-10,0.0,paid
523,329,48528.97,12975.85,,83.0,partial
524,450,12164.83,0.0,,,unpaid
525,301,9626.63,9626.63,2026-03-17,0.0,paid
526,109,23224.94,23224.94,2026-05-18,0.0,paid
527,775,1188.66,1188.66,2025-03-02,0.0,paid
528,421,7705.87,0.0,,125.0,unpaid
529,360,23627.31,13424.59,,25.0,partial
530,97,41489.59,41489.59,2026-05-13,0.0,paid
531,355,16759.12,16759.12,2025-10-23,0.0,paid
532,625,42396.71,42396.71,2025-01-09,0.0,paid
533,572,20842.73,20842.73,2026-04-04,0.0,paid
534,79,28975.2,0.0,,75.0,unpaid
535,148,1947.16,1947.16,2025-02-22,0.0,paid
536,65,25716.45,0.0,,174.0,unpaid
537,69,45263.15,12923.74,2026-01-03,7.0,partial
538,722,21158.03,21158.03,2024-10-01,0.0,paid
539,368,3269.18,,,60.0,partial
540,9,31172.56,,,115.0,unpaid
541,401,34905.97,34905.97,2025-06-13,0.0,paid
542,343,14471.74,14471.74,2025-05-20,0.0,paid
543,224,17257.98,17257.98,2025-01-18,0.0,paid
544,604,11063.15,4108.0,2024-08-24,77.0,partial
545,44,35788.44,35788.44,2025-09-13,0.0,paid
546,498,44170.35,0.0,,100.0,unpaid
547,532,47994.19,0.0,,,unpaid
